X2;Name;Bezeichnung;Kopierhier
Kreisfreie Stadt;München;Landeshauptstadt;München, Kreisfreie Stadt
Kreisfreie Stadt;Münster;Stadt;Münster, Kreisfreie Stadt
Landkreis;Neckar-Odenwald-Kreis;NA;Neckar-Odenwald-Kreis, Landkreis
Landkreis;Neuburg-Schrobenhausen;NA;Neuburg-Schrobenhausen, Landkreis
Landkreis;Neumarkt i.d.OPf.;NA;Neumarkt i.d.OPf., Landkreis
Kreisfreie Stadt;Neumünster;Stadt;Neumünster, Kreisfreie Stadt
Landkreis;Neunkirchen;NA;Neunkirchen, Landkreis
Landkreis;Neustadt a.d.Aisch-Bad Windsheim;NA;Neustadt a.d.Aisch-Bad Windsheim, Landkreis
Landkreis;Neustadt a.d.Waldnaab;NA;Neustadt a.d.Waldnaab, Landkreis
Kreisfreie Stadt;Neustadt an der Weinstraße;kreisfreie Stadt;Neustadt an der Weinstraße, Kreisfreie Stadt
Landkreis;Neu-Ulm;NA;Neu-Ulm, Landkreis
Landkreis;Neuwied;NA;Neuwied, Landkreis
Landkreis;Nienburg (Weser);NA;Nienburg (Weser), Landkreis
Kreis;Nordfriesland;NA;Nordfriesland, Kreis
Landkreis;Nordhausen;NA;Nordhausen, Landkreis
Landkreis;Nordsachsen;NA;Nordsachsen, Landkreis
Landkreis;Nordwestmecklenburg;NA;Nordwestmecklenburg, Landkreis
Landkreis;Northeim;NA;Northeim, Landkreis
Kreisfreie Stadt;Nürnberg;NA;Nürnberg, Kreisfreie Stadt
Landkreis;Nürnberger Land;NA;Nürnberger Land, Landkreis
Landkreis;Oberallgäu;NA;Oberallgäu, Landkreis
Kreis;Oberbergischer Kreis;NA;Oberbergischer Kreis, Kreis
Kreisfreie Stadt;Oberhausen;Stadt;Oberhausen, Kreisfreie Stadt
Landkreis;Oberhavel;NA;Oberhavel, Landkreis
Landkreis;Oberspreewald-Lausitz;NA;Oberspreewald-Lausitz, Landkreis
Landkreis;Odenwaldkreis;NA;Odenwaldkreis, Landkreis
Landkreis;Oder-Spree;NA;Oder-Spree, Landkreis
Landkreis;Offenbach;NA;Offenbach, Landkreis
Kreisfreie Stadt;Offenbach am Main;Stadt;Offenbach am Main, Kreisfreie Stadt
Landkreis;Oldenburg;NA;Oldenburg, Landkreis
Kreisfreie Stadt;Oldenburg (Oldenburg);Stadt;Oldenburg (Oldenburg), Kreisfreie Stadt
Kreis;Olpe;NA;Olpe, Kreis
Landkreis;Ortenaukreis;NA;Ortenaukreis, Landkreis
Landkreis;Osnabrück;NA;Osnabrück, Landkreis
Kreisfreie Stadt;Osnabrück;Stadt;Osnabrück, Kreisfreie Stadt
Landkreis;Ostalbkreis;NA;Ostalbkreis, Landkreis
Landkreis;Ostallgäu;NA;Ostallgäu, Landkreis
Landkreis;Osterholz;NA;Osterholz, Landkreis
Kreis;Ostholstein;NA;Ostholstein, Kreis
Landkreis;Ostprignitz-Ruppin;NA;Ostprignitz-Ruppin, Landkreis
Kreis;Paderborn;NA;Paderborn, Kreis
Kreisfreie Stadt;Passau;NA;Passau, Kreisfreie Stadt
Landkreis;Passau;NA;Passau, Landkreis
Landkreis;Peine;NA;Peine, Landkreis
Landkreis;Pfaffenhofen a.d.Ilm;NA;Pfaffenhofen a.d.Ilm, Landkreis
Stadtkreis;Pforzheim;Stadtkreis;Pforzheim, Stadtkreis
Kreis;Pinneberg;NA;Pinneberg, Kreis
Kreisfreie Stadt;Pirmasens;kreisfreie Stadt;Pirmasens, Kreisfreie Stadt
Kreis;Plön;NA;Plön, Kreis
Kreisfreie Stadt;Potsdam;Stadt;Potsdam, Kreisfreie Stadt
Landkreis;Potsdam-Mittelmark;NA;Potsdam-Mittelmark, Landkreis
Landkreis;Prignitz;NA;Prignitz, Landkreis
Landkreis;Rastatt;NA;Rastatt, Landkreis
Landkreis;Ravensburg;NA;Ravensburg, Landkreis
Kreis;Recklinghausen;NA;Recklinghausen, Kreis
Landkreis;Regen;NA;Regen, Landkreis
Kreisfreie Stadt;Regensburg;NA;Regensburg, Kreisfreie Stadt
Landkreis;Regensburg;NA;Regensburg, Landkreis
Landkreis;Region Hannover;NA;Region Hannover, Landkreis
Regionalverband;Regionalverband Saarbrücken;NA;Regionalverband Saarbrücken, Regionalverband
Kreisfreie Stadt;Remscheid;Stadt;Remscheid, Kreisfreie Stadt
Landkreis;Rems-Murr-Kreis;NA;Rems-Murr-Kreis, Landkreis
Kreis;Rendsburg-Eckernförde;NA;Rendsburg-Eckernförde, Kreis
Landkreis;Reutlingen;NA;Reutlingen, Landkreis
Kreis;Rhein-Erft-Kreis;NA;Rhein-Erft-Kreis, Kreis
Landkreis;Rheingau-Taunus-Kreis;NA;Rheingau-Taunus-Kreis, Landkreis
Landkreis;Rhein-Hunsrück-Kreis;NA;Rhein-Hunsrück-Kreis, Landkreis
Kreis;Rheinisch-Bergischer Kreis;NA;Rheinisch-Bergischer Kreis, Kreis
Kreis;Rhein-Kreis Neuss;NA;Rhein-Kreis Neuss, Kreis
Landkreis;Rhein-Lahn-Kreis;NA;Rhein-Lahn-Kreis, Landkreis
Landkreis;Rhein-Neckar-Kreis;NA;Rhein-Neckar-Kreis, Landkreis
Landkreis;Rhein-Pfalz-Kreis;NA;Rhein-Pfalz-Kreis, Landkreis
Kreis;Rhein-Sieg-Kreis;NA;Rhein-Sieg-Kreis, Kreis
Landkreis;Rhön-Grabfeld;NA;Rhön-Grabfeld, Landkreis
Kreisfreie Stadt;Rosenheim;NA;Rosenheim, Kreisfreie Stadt
Landkreis;Rosenheim;NA;Rosenheim, Landkreis
Kreisfreie Stadt;Rostock;NA;Rostock, Kreisfreie Stadt
Landkreis;Rotenburg (Wümme);NA;Rotenburg (Wümme), Landkreis
Landkreis;Roth;NA;Roth, Landkreis
Landkreis;Rottal-Inn;NA;Rottal-Inn, Landkreis
Landkreis;Rottweil;NA;Rottweil, Landkreis
Landkreis;Saale-Holzland-Kreis;NA;Saale-Holzland-Kreis, Landkreis
Landkreis;Saalekreis;NA;Saalekreis, Landkreis
Landkreis;Saale-Orla-Kreis;NA;Saale-Orla-Kreis, Landkreis
Landkreis;Saalfeld-Rudolstadt;NA;Saalfeld-Rudolstadt, Landkreis
Landkreis;Saarlouis;NA;Saarlouis, Landkreis
Landkreis;Saarpfalz-Kreis;NA;Saarpfalz-Kreis, Landkreis
Landkreis;Sächsische Schweiz-Osterzgebirge;NA;Sächsische Schweiz-Osterzgebirge, Landkreis
Kreisfreie Stadt;Salzgitter;Stadt;Salzgitter, Kreisfreie Stadt
Landkreis;Salzlandkreis;NA;Salzlandkreis, Landkreis
Landkreis;Schaumburg;NA;Schaumburg, Landkreis
Kreis;Schleswig-Flensburg;NA;Schleswig-Flensburg, Kreis
Landkreis;Schmalkalden-Meiningen;NA;Schmalkalden-Meiningen, Landkreis
Kreisfreie Stadt;Schwabach;NA;Schwabach, Kreisfreie Stadt
Landkreis;Schwäbisch Hall;NA;Schwäbisch Hall, Landkreis
Landkreis;Schwalm-Eder-Kreis;NA;Schwalm-Eder-Kreis, Landkreis
Landkreis;Schwandorf;NA;Schwandorf, Landkreis
Landkreis;Schwarzwald-Baar-Kreis;NA;Schwarzwald-Baar-Kreis, Landkreis
Kreisfreie Stadt;Schweinfurt;NA;Schweinfurt, Kreisfreie Stadt
Landkreis;Schweinfurt;NA;Schweinfurt, Landkreis
Kreisfreie Stadt;Schwerin;NA;Schwerin, Kreisfreie Stadt
Kreis;Segeberg;NA;Segeberg, Kreis
Kreis;Siegen-Wittgenstein;NA;Siegen-Wittgenstein, Kreis
Landkreis;Sigmaringen;NA;Sigmaringen, Landkreis
Kreis;Soest;NA;Soest, Kreis
Kreisfreie Stadt;Solingen;Klingenstadt;Solingen, Kreisfreie Stadt
Landkreis;Sömmerda;NA;Sömmerda, Landkreis
Landkreis;Sonneberg;NA;Sonneberg, Landkreis
Kreisfreie Stadt;Speyer;kreisfreie Stadt;Speyer, Kreisfreie Stadt
Landkreis;Spree-Neiße;NA;Spree-Neiße, Landkreis
Landkreis;St. Wendel;NA;St. Wendel, Landkreis
Landkreis;Stade;NA;Stade, Landkreis
Kreis;Städteregion Aachen;NA;Städteregion Aachen, Kreis
Landkreis;Starnberg;NA;Starnberg, Landkreis
Kreis;Steinburg;NA;Steinburg, Kreis
Kreis;Steinfurt;NA;Steinfurt, Kreis
Landkreis;Stendal;NA;Stendal, Landkreis
Kreis;Stormarn;NA;Stormarn, Kreis
Kreisfreie Stadt;Straubing;NA;Straubing, Kreisfreie Stadt
Landkreis;Straubing-Bogen;NA;Straubing-Bogen, Landkreis
Stadtkreis;Stuttgart;Stadtkreis;Stuttgart, Stadtkreis
Landkreis;Südliche Weinstraße;NA;Südliche Weinstraße, Landkreis
Landkreis;Südwestpfalz;NA;Südwestpfalz, Landkreis
Kreisfreie Stadt;Suhl;Stadt;Suhl, Kreisfreie Stadt
Landkreis;Teltow-Fläming;NA;Teltow-Fläming, Landkreis
Landkreis;Tirschenreuth;NA;Tirschenreuth, Landkreis
Landkreis;Traunstein;NA;Traunstein, Landkreis
Kreisfreie Stadt;Trier;kreisfreie Stadt;Trier, Kreisfreie Stadt
Landkreis;Trier-Saarburg;NA;Trier-Saarburg, Landkreis
Landkreis;Tübingen;NA;Tübingen, Landkreis
Landkreis;Tuttlingen;NA;Tuttlingen, Landkreis
Landkreis;Uckermark;NA;Uckermark, Landkreis
Landkreis;Uelzen;NA;Uelzen, Landkreis
Stadtkreis;Ulm;Stadtkreis;Ulm, Stadtkreis
Kreis;Unna;NA;Unna, Kreis
Landkreis;Unstrut-Hainich-Kreis;NA;Unstrut-Hainich-Kreis, Landkreis
Landkreis;Unterallgäu;NA;Unterallgäu, Landkreis
Landkreis;Vechta;NA;Vechta, Landkreis
Landkreis;Verden;NA;Verden, Landkreis
Kreis;Viersen;NA;Viersen, Kreis
Landkreis;Vogelsbergkreis;NA;Vogelsbergkreis, Landkreis
Landkreis;Vogtlandkreis;NA;Vogtlandkreis, Landkreis
Landkreis;Vorpommern-Greifswald;NA;Vorpommern-Greifswald, Landkreis
Landkreis;Vorpommern-Rügen;NA;Vorpommern-Rügen, Landkreis
Landkreis;Vulkaneifel;NA;Vulkaneifel, Landkreis
Landkreis;Waldeck-Frankenberg;NA;Waldeck-Frankenberg, Landkreis
Landkreis;Waldshut;NA;Waldshut, Landkreis
Kreis;Warendorf;NA;Warendorf, Kreis
Landkreis;Wartburgkreis;NA;Wartburgkreis, Landkreis
Kreisfreie Stadt;Weiden i.d.OPf.;NA;Weiden i.d.OPf., Kreisfreie Stadt
Landkreis;Weilheim-Schongau;NA;Weilheim-Schongau, Landkreis
Kreisfreie Stadt;Weimar;Stadt;Weimar, Kreisfreie Stadt
Landkreis;Weimarer Land;NA;Weimarer Land, Landkreis
Landkreis;Weißenburg-Gunzenhausen;NA;Weißenburg-Gunzenhausen, Landkreis
Landkreis;Werra-Meißner-Kreis;NA;Werra-Meißner-Kreis, Landkreis
Kreis;Wesel;NA;Wesel, Kreis
Landkreis;Wesermarsch;NA;Wesermarsch, Landkreis
Landkreis;Westerwaldkreis;NA;Westerwaldkreis, Landkreis
Landkreis;Wetteraukreis;NA;Wetteraukreis, Landkreis
Kreisfreie Stadt;Wiesbaden;Landeshauptstadt;Wiesbaden, Kreisfreie Stadt
Kreisfreie Stadt;Wilhelmshaven;Stadt;Wilhelmshaven, Kreisfreie Stadt
Landkreis;Wittenberg;NA;Wittenberg, Landkreis
Landkreis;Wittmund;NA;Wittmund, Landkreis
Landkreis;Wolfenbüttel;NA;Wolfenbüttel, Landkreis
Kreisfreie Stadt;Wolfsburg;Stadt;Wolfsburg, Kreisfreie Stadt
Kreisfreie Stadt;Worms;kreisfreie Stadt;Worms, Kreisfreie Stadt
Landkreis;Wunsiedel i.Fichtelgebirge;NA;Wunsiedel i.Fichtelgebirge, Landkreis
Kreisfreie Stadt;Wuppertal;Stadt;Wuppertal, Kreisfreie Stadt
Kreisfreie Stadt;Würzburg;NA;Würzburg, Kreisfreie Stadt
Landkreis;Würzburg;NA;Würzburg, Landkreis
Landkreis;Zollernalbkreis;NA;Zollernalbkreis, Landkreis
Kreisfreie Stadt;Zweibrücken;kreisfreie Stadt;Zweibrücken, Kreisfreie Stadt
Landkreis;Zwickau;NA;Zwickau, Landkreis
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
NA;NA;NA;NA, NA
